destination	source	transformation
Assembly/ERR1713332/ERR1713332_assembly_metrics.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_5_megahit_batch02_10countries_plus_USA_alt11/results/ERR1713332/final.contigs.fa	Assembly statistics calculated from final MEGAHIT contigs; full contig FASTA excluded
Assembly/ERR1713334/ERR1713334_assembly_metrics.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_5_megahit_batch02_10countries_plus_USA_alt11/results/ERR1713334/final.contigs.fa	Assembly statistics calculated from final MEGAHIT contigs; full contig FASTA excluded
Assembly/ERR1713335/ERR1713335_assembly_metrics.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_5_megahit_batch02_10countries_plus_USA_alt11/results/ERR1713335/final.contigs.fa	Assembly statistics calculated from final MEGAHIT contigs; full contig FASTA excluded
Assembly/ERR1713337/ERR1713337_assembly_metrics.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_5_megahit_batch02_10countries_plus_USA_alt11/results/ERR1713337/final.contigs.fa	Assembly statistics calculated from final MEGAHIT contigs; full contig FASTA excluded
Assembly/ERR1713339/ERR1713339_assembly_metrics.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_5_megahit_batch02_10countries_plus_USA_alt11/results/ERR1713339/final.contigs.fa	Assembly statistics calculated from final MEGAHIT contigs; full contig FASTA excluded
Assembly/ERR1713343/ERR1713343_assembly_metrics.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_5_megahit_batch02_10countries_plus_USA_alt11/results/ERR1713343/final.contigs.fa	Assembly statistics calculated from final MEGAHIT contigs; full contig FASTA excluded
Assembly/ERR1713349/ERR1713349_assembly_metrics.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_5_megahit_batch02_10countries_plus_USA_alt11/results/ERR1713349/final.contigs.fa	Assembly statistics calculated from final MEGAHIT contigs; full contig FASTA excluded
Assembly/ERR1713352/ERR1713352_assembly_metrics.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_5_megahit_batch02_10countries_plus_USA_alt11/results/ERR1713352/final.contigs.fa	Assembly statistics calculated from final MEGAHIT contigs; full contig FASTA excluded
Assembly/ERR1713362/ERR1713362_assembly_metrics.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_5_megahit_batch02_10countries_plus_USA_alt11/results/ERR1713362/final.contigs.fa	Assembly statistics calculated from final MEGAHIT contigs; full contig FASTA excluded
Assembly/ERR1713379/ERR1713379_assembly_metrics.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_5_megahit_batch02_10countries_plus_USA_alt11/results/ERR1713379/final.contigs.fa	Assembly statistics calculated from final MEGAHIT contigs; full contig FASTA excluded
Assembly/ERR1713403/ERR1713403_assembly_metrics.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_5_megahit_batch02_10countries_plus_USA_alt11/results/ERR1713403/final.contigs.fa	Assembly statistics calculated from final MEGAHIT contigs; full contig FASTA excluded
Bowtie2/ERR1713332/ERR1713332.bowtie2.log	rr-analysis/hendriksen_resistancemap_2016/results/bowtie2_batch02_10countries_plus_USA_alt11/ERR1713332/ERR1713332.bowtie2.log	Copied without modification
Bowtie2/ERR1713334/ERR1713334.bowtie2.log	rr-analysis/hendriksen_resistancemap_2016/results/bowtie2_batch02_10countries_plus_USA_alt11/ERR1713334/ERR1713334.bowtie2.log	Copied without modification
Bowtie2/ERR1713335/ERR1713335.bowtie2.log	rr-analysis/hendriksen_resistancemap_2016/results/bowtie2_batch02_10countries_plus_USA_alt11/ERR1713335/ERR1713335.bowtie2.log	Copied without modification
