Species,AMR_Burden
Klebsiella pneumoniae,0.5335589923886821
Klebsiella spp,0.32634032634032634
Providencia spp,0.18791946308724833
Providencia rettgeri,0.14710180224062347
Providencia stuartii,0.1288370082144401
Enterobacter hormaechi,0.12585126668482702
Proteus mirabilis,0.08299557848194547
Citrobacter farmeri,0.0784313725490196
Escherichia coli,0.07535868062727402
Raoultella planticola,0.06666666666666667
Enterobacter xiangfangensis,0.06382978723404255
Enterobacter spp,0.06284340659340659
Citrobacter spp,0.06234413965087282
Citrobacter sedlakii,0.061855670103092786
Citrobacter freundii,0.05307131089668157
Enterobacter roggenkampii,0.05263157894736842
Serratia spp,0.04842342342342342
Raoultella ornithinolytica,0.045662100456621
Klebsiella variicola,0.04503152206544581
Citrobacter amalonaticus,0.04186046511627907
Escherichia spp,0.039473684210526314
Klebsiella oxytoca,0.03825876662636034
Acinetobacter baumannii,0.03079247295105641
Enterobacter cloacae,0.0268417308065455
Pseudomonas aeruginosa,0.024117713091609316
Enterobacter asburiae,0.022259554808903823
Enterobacter bugandensis,0.021042084168336674
Serratia marcescens,0.015602055800293686
Enterobacter kobei,0.015332197614991482
Citrobacter braakii,0.013623978201634877
"Enterobacter, non-speciated",0.011553273427471117
Morganella morganii,0.008925958443078724
Klebsiella aerogenes,0.00811670505648788
Serratia liquefaciens,0.0053475935828877
Citrobacter koseri,0.005292441308182928
Enterobacter agglomerans,0.005089058524173028
"Klebsiella, non-speciated",0.004672897196261682
Proteus vulgaris,0.0012515644555694619
Clostridium perfringens,0.0007288629737609329
Staphylococcus aureus,5.784258718323953e-06
Streptococcus sanguinis,0.0
Streptococcus pyogenes,0.0
Peptostreptococcus magnus,0.0
Streptococcus sanguis,0.0
Pluralibacter gergoviae,0.0
Peptostreptococcus spp,0.0
Peptostreptococcus tetradius,0.0
Phocaeicola vulgatus,0.0
Streptococcus salivarius,0.0
Phocaeicola spp,0.0
Prevotella amnii,0.0
Phocaeicola massiliensis,0.0
Streptococcus constellatus,0.0
Prevotella buccae,0.0
Prevotella baroniae,0.0
Prevotella bergensis,0.0
Prevotella pallens,0.0
Prevotella oulorum,0.0
Prevotella oris,0.0
Prevotella oralis,0.0
Prevotella nigrescens,0.0
Prevotella nanceinsis,0.0
Prevotella multiformis,0.0
Prevotella melaninogenica,0.0
Prevotella maculosa,0.0
Prevotella loescheii,0.0
Prevotella jejunii,0.0
Prevotella intermedia,0.0
Prevotella histicola,0.0
Prevotella heparinolytica,0.0
Prevotella disiens,0.0
Prevotella denticola,0.0
Prevotella corporis,0.0
Prevotella buccalis,0.0
Prevotella bivia,0.0
Streptococcus spp,0.0
Peptostreptococcus hydrogenalis,0.0
Peptostreptococcus lactolyticus,0.0
Peptostreptococcus indolicus,0.0
Pantoea septica,0.0
Pantoea dispersa,0.0
Pantoea agglomerans,0.0
Paeniclostridium spp,0.0
Paeniclostridium sordelli,0.0
Ochrobactrum anthropi,0.0
Neisseria gonorrhoeae,0.0
Myroides odoratimimus,0.0
Morganella spp,0.0
Moraxella spp,0.0
Moraxella osloensis,0.0
Moraxella catarrhalis,0.0
Mixta calida,0.0
Lelliottia amnigena,0.0
Lancefieldella parvula,0.0
Lactobacillus casei,0.0
"Streptococcus, viridans group",0.0
Kluyvera ascorbata,0.0
Tissierella praeacuta,0.0
Pantoea spp,0.0
"Streptococcus, Beta Hemolytic",0.0
Parabacteroides distasonis,0.0
Peptoniphilus gorbachii,0.0
Prevotella spp,0.0
Peptostreptococcus anaerobius,0.0
Peptoniphilus spp,0.0
Peptoniphilus olsenii,0.0
Peptoniphilus lacrimalis,0.0
Peptoniphilus indolicus,0.0
