set	sample_id	total_ARG_hits	matched_to_genomad	chromosome_like_ARG_hits	plasmid_like_ARG_hits	virus_like_ARG_hits	mobile_context_ARG_hits	unclassified_ARG_hits	percent_ARG_hits_plasmid_like	percent_ARG_hits_mobile_context	loose_ARG_hits	strict_ARG_hits	perfect_ARG_hits
RM2016_batch03_global10	ERR1713346	193	21	172	20	1	21	0	10.362694300518134	10.880829015544041	0	163	30
RM2016_batch03_global10	ERR1713370	301	41	260	39	2	41	0	12.956810631229235	13.621262458471762	0	258	43
RM2016_batch03_global10	ERR1713382	215	24	191	24	0	24	0	11.162790697674419	11.162790697674419	0	208	7
RM2016_batch03_global10	ERR1713385	255	34	221	32	2	34	0	12.549019607843137	13.333333333333334	0	215	40
RM2016_batch03_global10	ERR1713386	348	57	291	56	1	57	0	16.091954022988507	16.379310344827587	0	295	53
RM2016_batch03_global10	ERR1725938	75	17	58	17	0	17	0	22.666666666666668	22.666666666666668	0	67	8
RM2016_batch03_global10	ERR1725952	7	0	7	0	0	0	0	0.0	0.0	0	5	2
RM2016_batch03_global10	ERR1725965	49	12	37	12	0	12	0	24.489795918367346	24.489795918367346	0	35	14
RM2016_batch03_global10	ERR1725980	47	6	41	6	0	6	0	12.76595744680851	12.76595744680851	0	40	7
RM2016_batch03_global10	ERR1725981	99	19	80	18	1	19	0	18.181818181818183	19.19191919191919	0	75	24
